point;lon;lat
0;51,7715434;14,3384649
1;51,7713221;14,3408949
2;51,7696548;14,3412477
3;51,7711254;14,3440264
4;51,7705285;14,350131
5;51,7682279;14,3576932
6;51,766604;14,3581074
7;51,7645259;14,3582908
8;51,7625026;14,3585917
9;51,7624201;14,3530582
10;51,7622369;14,3512985
11;51,7618278;14,3489667
12;51,7625955;14,3457449
13;51,7624286;14,3435046
14;51,7634474;14,3431303
15;51,7646481;14,3429569
16;51,7646733;14,3413606
17;51,7657243;14,342997
18;51,765716;14,3416717
19;51,7658011;14,3470791
20;51,7648394;14,3470382
21;51,7636765;14,3472444
22;51,7657976;14,3491528
23;51,7648185;14,3492802
24;51,7629565;14,349629
25;51,7626278;14,3497847
26;51,7630784;14,3530594
27;51,763197;14,3578804
28;51,7644098;14,3530416
29;51,7647684;14,35287
30;51,7651805;14,3527472
31;51,7656119;14,3540883
32;51,7680772;14,3568
